Candidato,Setorial,Estado,Situação,Votos
ROSA MARIA LEONARDO COIMBRA (Rosa Coimbra) ,Dança ,DF ,Eleito ,51
ROUSEJANNY DA SILVA FERREIRA (Rousejanny da Silva Ferreira) ,Dança ,GO ,Eleito ,23
SANDRA APARECIDA BERNARDO (Sandra A Bernardo) ,Dança ,SP ,Eleito ,166
SANDRO BORELLI (Sandro Borelli) ,Dança ,SP ,Habilitado ,97
SILVANIA DA CRUZ REIS (Silvania da Cruz Reis) ,Dança ,BA ,Habilitado ,30
SIMONE RIBEIRO (simone Ribeiro) ,Dança ,RS ,Eleito ,60
SOLANGE CONCEICAO LOUREIRO MONTEIRO (SOLANGE CONCEIÇÃO LOUREIRO MONTEIRO) ,Dança ,PA ,Eleito ,226
TALYENE CRUZ MELONIO (TALYENE MELONIO) ,Dança ,MA ,Habilitado ,5
THIAGO SANTOS SITINETA (Thiago Santos Sitineta) ,Dança ,SE ,Habilitado ,11
VALERIA MARIA SILTON PINHEIRO (VALERIA MARIA SILTON PINHEIRO) ,Dança ,CE ,Eleito ,36
VERA CRISTINA SANTOS E SILVA DE ATHAYDE (Vera Cristina Santos e Silva de Athayde) ,Dança ,SP ,Habilitado ,79
VERLENE FERREIRA MESQUITA (Verlene Ferreira Mesquita) ,Dança ,AM ,Habilitado ,41
WILKINSON DO NASCIMENTO DE OLIVEIRA (Wilkinson do Nascimento de Oliveira) ,Dança ,RR ,Habilitado ,122
WSCICLEITON DE CASTRO SOUZA (Wscicleiton de Castro Souza) ,Dança ,RO ,Habilitado ,27
YACANNA RODRIGUES DOS SANTOS (Yaçannã Rodrigues dos Santos Correia) ,Dança ,AL ,Eleito ,67
ZILVANIO SOUZA DE CARVALHO (Zil Souza ) ,Dança ,AP ,Habilitado ,27
ADRIANO SANTOS (Adriano Santos) ,Design ,SC ,Eleito ,138
ALESSANDRO BRITO DIAS (Alessandro Dias) ,Design ,AM ,Eleito ,130
ANA AMELIA CAMPOS DOS ANJOS (Mel Campos) ,Design ,BA ,Eleito ,16
ANGELICA OLIVEIRA ADVERSE (angelica oliveira adverse ) ,Design ,MG ,Eleito ,52
AULIO COSTA ZAMBENEDETTI (Aulio Zambenedetti) ,Design ,PR ,Habilitado ,8
AURESNEDE PIRES STEPHAN (Auresnede Pires Stephan) ,Design ,SP ,Eleito ,122
AXEL HERMANN SANDE (Axel Sande) ,Design ,RJ ,Eleito ,23
BENTO GUSTAVO DE SOUSA PIMENTEL (Bento Gustavo Pimentel) ,Design ,PA ,Habilitado ,1
BRUNNA RICHELLY LIMA ROCHA ANCHIETA (Brunna Rocha Anchieta) ,Design ,AM ,Eleito ,357
BRUNO BELO DE LIMA (Bruno Belo de Lima) ,Design ,AL ,Eleito ,181
BRUNO CARED TAVARES (Bruno Cared) ,Design ,DF ,Habilitado ,4
CESAR HABERT PACIORNIK (Cesar Habert Paciornik) ,Design ,SP ,Eleito ,122
CLAUDIA FATIMA CAMPOS (Claudia Fátima Campos) ,Design ,MG ,Eleito ,8
CRISTIANE LOFF (Cristiane Löff) ,Design ,RS ,Habilitado ,4
CRISTIANO JOSE DE OLIVEIRA PAES DA CUNHA (Cristiano Oliveira Cunha) ,Design ,RN ,Eleito ,25
DANIEL DUTRA GOMES (Daniel Dutra) ,Design ,ES ,Habilitado ,20
DEBORA CARAMASCHI DE CAMPOS (Débora Caramaschi de Campos) ,Design ,SP ,Eleito ,71
EDUARDO LUCAS CARDOSO BRAGA (Eduardo Braga) ,Design ,MG ,Habilitado ,10
EDUARDO ROMEIRO FILHO (Eduardo Romeiro Filho) ,Design ,MG ,Habilitado ,12
ELISEU DE REZENDE SANTOS (Eliseu de Rezende Santos) ,Design ,MG ,Habilitado ,1
FABIO HENRIQUE DIAS MAXIMO (Fabio Maximo) ,Design ,AM ,Eleito ,29
FELIPE DA SILVA GOMES (FELIPE DA SILVA GOMES) ,Design ,ES ,Habilitado ,6
GERALDO MAGELA NOGUEIRA TORRES (GERALDO MAGELA NOGUEIRA TORRES) ,Design ,AP ,Eleito ,2
HARO RISTOW WIPPEL SCHULENBURG (Haro Schulenburg) ,Design ,SC ,Habilitado ,10
HAROLDO DA COSTA BRITO (Haroldo Brito) ,Design ,DF ,Eleito ,12
HENRIQUE RODRIGUES DA CUNHA (Henrique Cunha) ,Design ,SP ,Habilitado ,0
HUGO CRISTO SANT ANNA (Hugo Cristo) ,Design ,ES ,Eleito ,30
IGOR VERAS DINIZ ARAGAO (Igor Véras) ,Design ,SE ,Habilitado ,23
IRIS REGINA GOMES ANTONIO (Iris Regina Gomes Antonio) ,Design ,PE ,Eleito ,4
JANAN AMARINHO DE CARVALHO SILVA (Janan Carvalho) ,Design ,RO ,Eleito ,10
JOERCIO FONTINELLE BARBALHO JUNIOR (Joercio Fontinelle Barbalho Junior) ,Design ,PA ,Habilitado ,2
JORDANIA PEREIRA FIRMINO (Jordania Firmino) ,Design ,PB ,Eleito ,55
JOSE VICENTE AZZI GRECCO (Vicente Grecco) ,Design ,SP ,Habilitado ,0
LEONARDO ARAUJO DA COSTA (Buggy) ,Design ,CE ,Eleito ,15
LEONARDO CARDOSO EYER JORAS (Leo Eyer) ,Design ,RJ ,Eleito ,59
LETICIA DE OLIVEIRA AHOUAGI (Letícia Ahouagi) ,Design ,MG ,Habilitado ,4
LIVIA SANTANA FAUAZE (Livia Fauaze) ,Design ,BA ,Eleito ,32
LUCAS DE ALBUQUERQUE ROCHA (Lucas de Albuquerque Rocha) ,Design ,SP ,Habilitado ,0
LUIZ FERNANDEZ DE MOURA E PITA (Luiz Fernandez de Moura e Pita) ,Design ,MT ,Eleito ,2
MANUEL TELES DE OLIVEIRA FILHO (Manuel Teles ) ,Design ,PI ,Eleito ,10
MARCIO ALVES DA ROCHA (Marcio Alves da Rocha) ,Design ,GO ,Habilitado ,22
MARCIO CHAVES LAVOR (Márcio Chaves Lavôr) ,Design ,RR ,Eleito ,1
MARILIA ISFER RAVVANELLO (Marilia Isfer Ravanello) ,Design ,PR ,Eleito ,9
MAURO ERLEI SCHNEIDER MARTIN (Mauro Erlei Schneider Martin) ,Design ,RS ,Habilitado ,3
MAX REUS MONTIEL SEVERO (Max Reus Montiel Severo) ,Design ,RS ,Inabilitado ,3
MAYARA FELICIANO (Mayara Feliciano) ,Design ,SC ,Eleito ,1
PAULO PERDOMO RODRIGUES (Paulo Perdomo Rodrigues ) ,Design ,RS ,Eleito ,8
PEDRO BRAGA LEITAO (Pedro Braga Leitão) ,Design ,RJ ,Eleito ,49
PEDRO FELIPE BEZERRA DA SILVA (Pedro Felipe) ,Design ,PE ,Habilitado ,3
POLLIANA GUIMARAES LOPES (Polli Di Castro) ,Design ,GO ,Habilitado ,1
RAFFAEL REGIS DE ARAUJO (Raffael Regis) ,Design ,PA ,Habilitado ,0
RAQUEL GOMES NORONHA (Raquel Noronha) ,Design ,MA ,Eleito ,17
RENATO ANTONIO BERTAO (Re-nato Antonio Bertão) ,Design ,PR ,Habilitado ,4
RENATO DE PAULA MESQUITA (Renato de Paula Mesquita) ,Design ,GO ,Eleito ,82
RENATO PONTUAL DE SOUZA FREITAS (Renato Pontual) ,Design ,DF ,Habilitado ,7
RHALDNEY FERREIRA DE LIMA (Rhaldney Lima) ,Design ,PE ,Inabilitado ,1
RODRIGO ZEN (Rodrigo Zen) ,Design ,SC ,Habilitado ,42
SAMIA BATISTA E SILVA (Sâmia Batista e Silva) ,Design ,PA ,Eleito ,13
SEBASTIAO FILHO DE OLIVEIRA POSSA (Sebastião Filho de Oliveira Possa) ,Design ,AP ,Eleito ,39
SILVIA CRISTINA GRILLI SILVA (SILVIA GRILLI) ,Design ,SP ,Habilitado ,11
TALES BUNDCHEN ZACCARO DE OLIVEIRA (TALES BUNDCHEN ZACCARO DE OLIVEIRA) ,Design ,SE ,Eleito ,94
THALES ALBANO DE SOUSA PIMENTA (Thales Albano de Sousa Pimenta) ,Design ,MS ,Habilitado ,0
TIAGO BRUNO TORRES DE JESUS (Tiago Torre) ,Design ,BA ,Eleito ,26
WILLY MIRANDA SILVA (Nego Jamaica (Willy Miranda)) ,Design ,AP ,Eleito ,64
AFRISIO ACACIO (Afrisio Acacio) ,"Literatura, Livro e Leitura ",AL ,Inabilitado ,84
AGNALDO DOS SANTOS HOLANDA LOPES (Agnaldo Holanda) ,"Literatura, Livro e Leitura ",MS ,Habilitado ,1
AIRTON SOUZA DE OLIVEIRA (AIRTON SOUZA DE OLIVEIRA) ,"Literatura, Livro e Leitura ",PA ,Habilitado ,66
ALDENOR DA SILVA PIMENTEL (Aldenor Pimentel) ,"Literatura, Livro e Leitura ",RR ,Eleito ,32
ALEX WAGNER DIAS (ALEX WAGNER DIAS) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,27
ALUFA LICUTA K Q Z G SOARES (alufa-licuta kibo quilimandjaro oxoronga ) ,"Literatura, Livro e Leitura ",PE ,Habilitado ,18
ALUISIO AZEVEDO JUNIOR (Aluísio Azevedo Júnior) ,"Literatura, Livro e Leitura ",RN ,Habilitado ,24
ANA CRISTINA CARONI AVEROLDI (Ana Cristina Caroni Averoldi) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,2
ANDRE PERES DE LIMA (ANDRE PERES DE LIMA) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,59
ANDRESA PEREIRA SERPEJANTE (Andresa Pereira Serpejante) ,"Literatura, Livro e Leitura ",PR ,Habilitado ,14
ANGELI ROSE DO NASCIMENTO (ANGELI ROSE ) ,"Literatura, Livro e Leitura ",RJ ,Habilitado ,0
ANTONIO DA CONCEICAO FERREIRA (Antonio da Conceição Ferreira) ,"Literatura, Livro e Leitura ",DF ,Habilitado ,3
ANTONIO OLIVEIRA SANTOS (Antonio Oliveira Santos) ,"Literatura, Livro e Leitura ",BA ,Habilitado ,81
ANTONIO PEDRO MARTINS VIANNA NETO (Pedro Vianna) ,"Literatura, Livro e Leitura ",PA ,Habilitado ,24
BARBARA VIEIRA NOVA (Bárbara Vieira Nova) ,"Literatura, Livro e Leitura ",SP ,Inabilitado ,0
BENEDITO LOPES LIMA (Benedito Lopes Lima) ,"Literatura, Livro e Leitura ",DF ,Habilitado ,2
BRUNO RAFAEL DE ALBUQUERQUE GAUDENCIO (Bruno Rafael de Albuquerque Gaudêncio) ,"Literatura, Livro e Leitura ",PB ,Habilitado ,28
CAMILA SCHOFFEN TRESSINO (Camila Schoffen Tressino) ,"Literatura, Livro e Leitura ",RS ,Eleito ,139
CARLOS ALBERTO SANTOS LIMA FILHO (Alberto Lima) ,"Literatura, Livro e Leitura ",BA ,Habilitado ,14
CARLOS ANTONIO PARA BARBOSA DA SILVA (Carlos Pará) ,"Literatura, Livro e Leitura ",PA ,Habilitado ,42
CARLOS MAURO DA ROCHA (Carlos Mauro da Rocha) ,"Literatura, Livro e Leitura ",DF ,Inabilitado ,1
CARLOS ROBERTO NOGUEIRA DE VASCONCELOS (Carlos Roberto Nogueira de Vasconcelos ) ,"Literatura, Livro e Leitura ",CE ,Habilitado ,35
CARLOS WELLINGTON SOARES MARTINS (Carlos Wellington Soares Martins) ,"Literatura, Livro e Leitura ",MA ,Habilitado ,134
CATIA TOLEDO MENDONCA (Catia Toledo Mendonça) ,"Literatura, Livro e Leitura ",PR ,Eleito ,25
CHRISTINE BAENA CASTILHO FONTELLES (Christine Castilho Fontelles) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,20
CLARIMUNDO AMADO GONCALVES ROHRIG (Clarimundo Röhrig ) ,"Literatura, Livro e Leitura ",RS ,Habilitado ,52
CLAUDIO CARDOSO DE ANDRADE COSTA (CLÁUDIO CARDOSO DE ANDRADE COSTA) ,"Literatura, Livro e Leitura ",PA ,Habilitado ,1
CLAUDIO JOSE AVILA ROCHA (Claudio Rocha) ,"Literatura, Livro e Leitura ",MG ,Inabilitado ,36
CLEIDE CRISTINA SOARES (Cleide Soares) ,"Literatura, Livro e Leitura ",DF ,Eleito ,59
CLEOMARINA GUIMARAES DA SILVA SANTOS (cleomarina guimaraes da silva) ,"Literatura, Livro e Leitura ",RO ,Inabilitado ,3
CRISTIANE GRANDO (Cristiane Grando) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,47
DAMIANA MARIA BARBOSA JAIRES MELO (Damiana Maria Barbosa Jaires Melo) ,"Literatura, Livro e Leitura ",AL ,Eleito ,9
DANIELE RODRIGUES DA COSTA (Dani Mirini ) ,"Literatura, Livro e Leitura ",AC ,Eleito ,8
DANIELLI RODRIGUES (Danielli Rodrigues) ,"Literatura, Livro e Leitura ",PR ,Habilitado ,11
DEIVISSON LOPES PIMENTEL (Deivisson Lopes) ,"Literatura, Livro e Leitura ",BA ,Habilitado ,3
DENIZETE LIMA DE MESQUITA (Denizete Mesquita) ,"Literatura, Livro e Leitura ",PI ,Habilitado ,5
DENNIA DE SOUSA ALMEIDA FERREIRA (Dennia de Sousa Almeida Ferreira) ,"Literatura, Livro e Leitura ",GO ,Habilitado ,28
DEVISON AMORIM DO NASCIMENTO (Devison Amorim do Nascimento) ,"Literatura, Livro e Leitura ",PA ,Eleito ,220
DJALDA MARACIRA CASTELO BRANCO MUNIZ (Djalda Maracira Castelo Branco Muniz) ,"Literatura, Livro e Leitura ",MA ,Eleito ,345
DOMINGOS CONCEICAO (Domingos Conceição Negrinho do Pará) ,"Literatura, Livro e Leitura ",PA ,Eleito ,229
EDNEI PROCOPIO DOS SANTOS (Ednei Procopio ) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,3
ELIANA GOMES DA SILVA (Eliana Gomes da Silva ) ,"Literatura, Livro e Leitura ",SP ,Inabilitado ,3
ELIANY ALVARENGA DE ARAUJO (Eliany Alvarenga de Araújo) ,"Literatura, Livro e Leitura ",GO ,Habilitado ,45
ELISA CAMPOS MACHADO (Elisa Campos Machado) ,"Literatura, Livro e Leitura ",RJ ,Eleito ,61
ELIZABETH CHRISTINA DE SOUZA CAMPOS (Elizabeth Christina de Souza Campos) ,"Literatura, Livro e Leitura ",MG ,Habilitado ,13
ERNANDES DANTAS E SILVA (Ernandes Dantas e Silva) ,"Literatura, Livro e Leitura ",RR ,Eleito ,225
EUGENIO MARIA GOMES (Eugênio Maria Gomes) ,"Literatura, Livro e Leitura ",MG ,Habilitado ,19
FABIO ARAUJO OLIVEIRA (Fábio Oliveira) ,"Literatura, Livro e Leitura ",BA ,Habilitado ,1
FABIO BERNARDO FURTADO (FABIO BERNARDO FURTADO) ,"Literatura, Livro e Leitura ",AP ,Eleito ,71
FLOR DE MARIA DA COSTA FONTELLES (FLOR DI MARIA FONTELLES) ,"Literatura, Livro e Leitura ",PA ,Habilitado ,1
FRANCIMARA SALVADOR (Mara Coradello) ,"Literatura, Livro e Leitura ",ES ,Eleito ,4
FRANCISCO ALVES FIGUEIREDO (francisco alves figueiredo) ,"Literatura, Livro e Leitura ",AC ,Habilitado ,19
FRANCISCO DAS CHAGAS SILVA (Francisco das Chagas Silva) ,"Literatura, Livro e Leitura ",RO ,Eleito ,43
GILMAR PEREIRA LIMA (Gilmar Pereira Lima) ,"Literatura, Livro e Leitura ",BA ,Habilitado ,1
GILVANIA RODRIGUES MACHADO (Gilvania Rodrigues Machado) ,"Literatura, Livro e Leitura ",RN ,Habilitado ,1
GLAUCIA MAINDRA DA SILVA (Gláucia Maindra da Silva) ,"Literatura, Livro e Leitura ",SC ,Eleito ,175
GLEIDYS MEYRE DA SILVA MAIA (Gleidys Maia) ,"Literatura, Livro e Leitura ",AM ,Eleito ,4
GRACIELA MARIA REYNA DE QUIJANO (Graciela Maria Reyna de Quijano) ,"Literatura, Livro e Leitura ",RS ,Eleito ,205
HELOIZA MARIA SOBRAL RODRIGUES (Heloiza Maria Sobral Rodrigues ) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,44
IVAMAR DOS SANTOS (Ivamar dos Santos) ,"Literatura, Livro e Leitura ",AP ,Inabilitado ,65
JAILSON LEONARDO DE OLIVEIRA (Jailson de Oliveira) ,"Literatura, Livro e Leitura ",PE ,Habilitado ,12
JANETE LAINHA COELHO (Janete Lainha Coelho) ,"Literatura, Livro e Leitura ",BA ,Eleito ,419
JOANA RODRIGUES ALEXANDRE FIGUEIREDO (Joana Rodrigues Alexandre Figueiredo) ,"Literatura, Livro e Leitura ",CE ,Eleito ,26
JOAO BOSCO BEZERRA BONFIM (João Bosco Bezerra Bonfim) ,"Literatura, Livro e Leitura ",DF ,Habilitado ,32
JOAO CAVALCANTI RIBEIRO JUNIOR (João Cavalcanti Ribeiro júnior) ,"Literatura, Livro e Leitura ",PE ,Habilitado ,39
JOAO DE CASTRO RIBEIRO (João de Castro Ribeiro) ,"Literatura, Livro e Leitura ",PA ,Habilitado ,55
JOAO RICARDO SCORTECCI DE PAULA (João Ricardo Scortecci de Paula (João Scortecci)) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,5
JOAO TAVARES DE LIRA (João Tavares de Lira) ,"Literatura, Livro e Leitura ",RJ ,Habilitado ,4
JONAS RODRIGUES DE MORAES (JONAS RODRIGUES DE MORAES ) ,"Literatura, Livro e Leitura ",PI ,Eleito ,51
JORGE ALBERTO REYES ORTIZ JUNIOR (Jorge Alberto Reyes Ortiz Junior (Alberto de Avyz)) ,"Literatura, Livro e Leitura ",RJ ,Habilitado ,7
JORGE ANDRE DA SILVA (Jorge André da Silva) ,"Literatura, Livro e Leitura ",PA ,Habilitado ,84
JORGE BAPTISTA CARRANO (Jorge Baptista Carrano) ,"Literatura, Livro e Leitura ",BA ,Habilitado ,48
JOSE DE OLIVEIRA LUIS (José de Oliveira Luis) ,"Literatura, Livro e Leitura ",RS ,Habilitado ,8
JOSE QUEIROZ PASTANA ( JOSÉ PASTANA) ,"Literatura, Livro e Leitura ",AP ,Eleito ,193
JOSE RICARDO PIRES (José Ricardo Pires) ,"Literatura, Livro e Leitura ",CE ,Habilitado ,5
JOSE TALLES DA SILVA SOARES (José Talles da Silva Soares (Talles Azigon)) ,"Literatura, Livro e Leitura ",CE ,Habilitado ,1
JOSE XAVIER CORTEZ (José Xavier Cortez) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,10
JOSEILTON BATISTA FRANCA (Joseilton Batista Franca/JB) ,"Literatura, Livro e Leitura ",TO ,Eleito ,48
JOSEMIR SILVERIO DA SILVA (Josemir Silvério da Silva) ,"Literatura, Livro e Leitura ",RR ,Eleito ,36
JUNIA CRISTINA VAZ VIEIRA (Júnia Cristina Vaz Vieira) ,"Literatura, Livro e Leitura ",RS ,Habilitado ,125
JUSBERTO CARDOSO FILHO (JUSBERTO CARDOSO FILHO) ,"Literatura, Livro e Leitura ",MG ,Habilitado ,3
KARINA KLINKE (Karina Klinke) ,"Literatura, Livro e Leitura ",MG ,Habilitado ,11
KATIA MARIA COSTA (Kátia Maria Costa ) ,"Literatura, Livro e Leitura ",SC ,Eleito ,120
KATIA SUMAN (Katia Suman) ,"Literatura, Livro e Leitura ",RS ,Habilitado ,0
KLEVERTON ARTHUR DE ALMIRANTE (Kleverton Arthur de Almirante) ,"Literatura, Livro e Leitura ",AL ,Inabilitado ,125
LADAILZA GONCALVES TELES (LADAILZA GONÇALVES TELES) ,"Literatura, Livro e Leitura ",BA ,Habilitado ,18
LAIS LISBOA CHAFFE (LAÍS LISBOA CHAFFE) ,"Literatura, Livro e Leitura ",RS ,Habilitado ,119
LEONARDO DE OLIVEIRA CAVALCANTE (Leonardo de Oliveira Cavalcante) ,"Literatura, Livro e Leitura ",PB ,Eleito ,33
LETICIA VARGAS DE OLIVEIRA BRITO (Letícia Brito) ,"Literatura, Livro e Leitura ",RJ ,Habilitado ,3
LORENA ALLEYNE VANNELLE (Lorena Alleyne Vannelle) ,"Literatura, Livro e Leitura ",RJ ,Habilitado ,6
LUANA TAVARES DA SILVA (Luana Tavares da Silva) ,"Literatura, Livro e Leitura ",AL ,Habilitado ,8
LUCIANA MARINO DO NASCIMENTO (Luciana Marino do Nascimento) ,"Literatura, Livro e Leitura ",AC ,Habilitado ,1
LUCIANO HENRIQUE DE LIMA PEREIRA (Luck P Mamute) ,"Literatura, Livro e Leitura ",MT ,Inabilitado ,1
LUIS EDUARDO GARCIA AGUIAR (Luis Eduardo Garcia Aguiar) ,"Literatura, Livro e Leitura ",PE ,Habilitado ,3
LUIZ FELIPE LOPES CHAVES (Luiz Felipe Chaves) ,"Literatura, Livro e Leitura ",RJ ,Inabilitado ,0
MAKSON DE JESUS REIS (makson de jesus reis) ,"Literatura, Livro e Leitura ",SE ,Habilitado ,4
MANOEL MACIEL CARDOSO (Manoel Maciel Cardoso) ,"Literatura, Livro e Leitura ",TO ,Inabilitado ,1
MANOEL WILSON DE SOUZA (Wilson Palá) ,"Literatura, Livro e Leitura ",RN ,Habilitado ,1
MARCIA MARIA JUNKES (Márcia Maria Junkes) ,"Literatura, Livro e Leitura ",SC ,Eleito ,15
MARCOS DA VEIGA PEREIRA (Marcos da Veiga Pereira) ,"Literatura, Livro e Leitura ",RJ ,Habilitado ,12
MARCOS LANDAHL CABRAL (Marcos Landahl Cabral) ,"Literatura, Livro e Leitura ",SE ,Habilitado ,0
MARCOS PAULO CARLITO (Marcos Paulo Carlito) ,"Literatura, Livro e Leitura ",MS ,Habilitado ,1
MARCOS VINICIOS BUENO MARQUES (Marcos Vinicios) ,"Literatura, Livro e Leitura ",RS ,Inabilitado ,1
MARGARETE EDUL PRADO DE SOUZA LOPES (Margarete Edul Prado de Souza Lopes) ,"Literatura, Livro e Leitura ",AC ,Eleito ,26
MARIA APARECIDA ARIAS FERNANDEZ (Maria Aparecida Arias Fernandez (Cida Fernandez)) ,"Literatura, Livro e Leitura ",PE ,Eleito ,91
MARIA APARECIDA DA SILVA (Cidinha da Silva) ,"Literatura, Livro e Leitura ",BA ,Habilitado ,78
MARIA APARECIDA DE MATOS (Maria Aparecida de Matos) ,"Literatura, Livro e Leitura ",TO ,Habilitado ,3
MARIA CARMEM SILVA BATISTA (Maria Carmem Silva Batista) ,"Literatura, Livro e Leitura ",RN ,Eleito ,32
MARIA DAS DORES ANDRADE DE BARROS (Maria das Dores Andrade de Barros) ,"Literatura, Livro e Leitura ",PE ,Habilitado ,19
MARIA DAS GRACAS MONTEIRO CASTRO (MARIA DAS GRAÇAS MONTEIRO CASTRO) ,"Literatura, Livro e Leitura ",GO ,Eleito ,50
MARIA DO CARMO DA SILVA MEDEIROS (Maria do Carmo da Silva) ,"Literatura, Livro e Leitura ",RN ,Eleito ,22
MARIA ROSENEIDE SANTANA DOS SANTOS (Maria Roseneide Santana dos Santos) ,"Literatura, Livro e Leitura ",SE ,Eleito ,53
MARIANA PINHEIRO DO NASCIMENTO (Mariana Pinheiro ) ,"Literatura, Livro e Leitura ",PA ,Habilitado ,77
MARLENE DO SOCORRO MIRANDA TRINDADE (Marlene do Socorro Miranda Trindade) ,"Literatura, Livro e Leitura ",PA ,Eleito ,194
MAURICIO RABELLO BASTOS PARAGUASSU (Maurício Rabello Bastos Paraguassú) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,0
MAURILIO TADEU DE CAMPOS (MAURILIO TADEU DE CAMPOS) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,33
MAURO CESAR BANDEIRA DE OLIVEIRA (Mauro César Bandeira de Oliveira) ,"Literatura, Livro e Leitura ",DF ,Eleito ,1
MAURO FREDERICO DE MARCHI (Mauro Frederico Demarchi) ,"Literatura, Livro e Leitura ",SC ,Habilitado ,1
MELLY FATIMA GOES SENA (Melly Fátima Goes Sena) ,"Literatura, Livro e Leitura ",MS ,Eleito ,115
MOACIR DE ARAUJO ALMEIDA JUNIOR (ALMEIDA JÚNIOR) ,"Literatura, Livro e Leitura ",AP ,Eleito ,275
MOACIR RIBEIRO DA SILVA (MOACIR RIBEIRO DA SILVA) ,"Literatura, Livro e Leitura ",CE ,Habilitado ,0
MORGANA MARCON (Morgana Marcon) ,"Literatura, Livro e Leitura ",RS ,Inabilitado ,83
NATALINO DA SILVA DE OLIVEIRA (NATALINO DA SILVA DE OLIVEIRA) ,"Literatura, Livro e Leitura ",MG ,Eleito ,37
NELTON MOREIRA SOUZA (Nelton Moreira ) ,"Literatura, Livro e Leitura ",GO ,Eleito ,50
NEWBER PARAISO MACIEIRA (Newber Paraiso Macieira) ,"Literatura, Livro e Leitura ",PE ,Habilitado ,0
NIVANEA MARIA RODRIGUES SOARES (Nivanea Maria Rodrigues Soares) ,"Literatura, Livro e Leitura ",RN ,Inabilitado ,10
PATRICIA PEREIRA DE MATOS (Patrícia Pereira de Matos) ,"Literatura, Livro e Leitura ",CE ,Eleito ,15
PAULO ROBERTO GUEDES DOS SANTOS (PAULO ROBERTO GUEDES DOS SANTOS) ,"Literatura, Livro e Leitura ",AP ,Habilitado ,31
PEDRO CESAR BATISTA (Pedro César Batista) ,"Literatura, Livro e Leitura ",DF ,Habilitado ,50
PEDRO PAULO GRACZCKI (Pedro Paulo Graczcki) ,"Literatura, Livro e Leitura ",RS ,Habilitado ,11
RAFAEL MUSSOLINI SILVESTRE (Rafael Mussolini Silvestre) ,"Literatura, Livro e Leitura ",MG ,Eleito ,141
RAQUEL GOES DE MENEZES (Raquel Menezes) ,"Literatura, Livro e Leitura ",RJ ,Eleito ,71
REJANE DE SOUZA (Rejane de Souza) ,"Literatura, Livro e Leitura ",RN ,Inabilitado ,116
RENA LEITE PONTES (Renã Leite Pontes) ,"Literatura, Livro e Leitura ",AC ,Habilitado ,5
RENATA PIMENTEL TEIXEIRA (Renata Pimentel) ,"Literatura, Livro e Leitura ",PE ,Habilitado ,9
RENATO DE MATTOS MOTTA (Renato de Mattos Motta) ,"Literatura, Livro e Leitura ",RS ,Habilitado ,27
RICARDO VIVEIROS DE PAULA (RICARDO VIVEIROS) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,1
RODOLFO SILVA DE ABREU (Rodolfo Silva de Abreu) ,"Literatura, Livro e Leitura ",MA ,Eleito ,307
RODRIGO DOMIT (Rodrigo Domit) ,"Literatura, Livro e Leitura ",SC ,Habilitado ,5
RODRIGO PEREIRA LOPES DE FARIA E SILVA (RODRIGO FARIA E SILVA) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,6
ROSE CRISTIANI FRANCO SECO LISTON (Rose Cristiani Franco Seco Liston) ,"Literatura, Livro e Leitura ",MS ,Habilitado ,16
SAMIA ELLEN AMARO DOS SANTOS (Sâmia Ellen Amaro dos Santos ) ,"Literatura, Livro e Leitura ",CE ,Eleito ,88
SAMUEL DE SA BARRETO (Samuel de Sá Barrêto) ,"Literatura, Livro e Leitura ",MA ,Habilitado ,110
SANDRA MARA FERRARI MENDES (Sandra Mara Ferrari Radich) ,"Literatura, Livro e Leitura ",RJ ,Habilitado ,6
SOLANGE DA SILVA FIGUEIREDO (SOLANGE DA SILVA FIGUEIREDO) ,"Literatura, Livro e Leitura ",RJ ,Habilitado ,9
SYLVIA ALBERNAZ MACHADO DO CARMO GUIMARAES (Sylvia Guimarães) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,11
THAIS DOS SANTOS RODRIGUES (Thais dos Santos Rodrigues) ,"Literatura, Livro e Leitura ",MA ,Habilitado ,76
TONI CARLOS PEREIRA (Toni C.) ,"Literatura, Livro e Leitura ",SP ,Eleito ,136
VANDA FERREIRA (vanda ferreira) ,"Literatura, Livro e Leitura ",MS ,Habilitado ,1
VANDERLEI APARECIDO ORSO (Vanderlei Orso) ,"Literatura, Livro e Leitura ",SP ,Habilitado ,2
VANIA MARIA DE VASCONCELOS FARIAS (Vania Maria Nogueira de Vasconcelos) ,"Literatura, Livro e Leitura ",CE ,Habilitado ,0
VERA ALBRECHT ALBUQUERQUE (Vera Albrecht Albuquerque) ,"Literatura, Livro e Leitura ",PR ,Habilitado ,2
